Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
128,Devon Dotson\dotsode01,PG,21,CHI,3,0,15,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,1,2,0,1,0,0,1,4
129,Sekou Doumbouya\doumbse01,PF,20,DET,45,2,588,65,188,.346,20,83,.241,45,105,.429,.399,28,36,.778,24,72,96,26,19,5,31,70,178
130,PJ Dozier\doziepj01,SG,24,DEN,39,0,775,98,236,.415,33,97,.340,65,139,.468,.485,35,57,.614,28,114,142,61,22,16,32,69,264
131,Goran Dragić\dragigo01,PG,34,MIA,35,10,932,163,377,.432,54,163,.331,109,214,.509,.504,75,91,.824,12,106,118,156,20,6,90,80,455
132,Andre Drummond\drumman01,C,27,TOT,30,30,835,198,420,.471,0,8,.000,198,412,.481,.471,87,145,.600,114,269,383,70,47,32,96,89,483
132,Andre Drummond\drumman01,C,27,CLE,25,25,722,180,380,.474,0,8,.000,180,372,.484,.474,77,129,.597,101,236,337,64,40,29,81,69,437
132,Andre Drummond\drumman01,C,27,LAL,5,5,113,18,40,.450,0,0,,18,40,.450,.450,10,16,.625,13,33,46,6,7,3,15,20,46
133,Jared Dudley\dudleja01,PF,35,LAL,11,0,76,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,4,15,19,5,1,1,2,7,6
134,Kevin Durant\duranke01,PF,32,BRK,22,20,749,212,396,.535,56,125,.448,156,271,.576,.606,141,161,.876,9,148,157,114,14,29,85,45,621
135,Anthony Edwards\edwaran01,SG,19,MIN,55,38,1725,362,909,.398,117,375,.312,245,534,.459,.463,151,191,.791,47,198,245,144,60,24,118,93,992
136,Carsen Edwards\edwarca01,SG,22,BOS,22,1,195,38,82,.463,13,43,.302,25,39,.641,.543,7,9,.778,2,17,19,10,5,1,3,21,96
137,CJ Elleby\ellebcj01,SF,20,POR,21,0,153,19,49,.388,6,27,.222,13,22,.591,.449,7,11,.636,8,14,22,4,6,3,3,20,51
138,Henry Ellenson\ellenhe01,PF,24,TOR,2,0,38,5,14,.357,2,9,.222,3,5,.600,.429,3,4,.750,3,9,12,5,0,0,0,7,15
139,Wayne Ellington\ellinwa01,SG,33,DET,39,29,867,131,293,.447,100,236,.424,31,57,.544,.618,26,33,.788,10,62,72,57,15,9,27,55,388
140,Joel Embiid\embiijo01,C,26,PHI,36,36,1156,333,641,.520,41,107,.383,292,534,.547,.551,357,419,.852,76,319,395,111,38,53,113,89,1064
141,James Ennis\ennisja01,SF,30,ORL,37,33,887,103,218,.472,38,91,.418,65,127,.512,.560,62,76,.816,41,109,150,56,31,6,33,76,306
142,Drew Eubanks\eubandr01,C,23,SAS,34,0,442,61,118,.517,1,1,1.000,60,117,.513,.521,39,55,.709,32,94,126,27,8,33,27,47,162
143,Dante Exum\exumda01,SG,25,CLE,6,3,116,10,26,.385,2,11,.182,8,15,.533,.423,1,2,.500,2,15,17,13,4,2,7,9,23
144,Tacko Fall\fallta01,C,25,BOS,15,0,100,18,24,.750,0,0,,18,24,.750,.750,4,13,.308,11,27,38,2,1,12,4,16,40
145,Derrick Favors\favorde01,C,29,UTA,53,0,823,124,199,.623,0,1,.000,124,198,.626,.623,54,73,.740,112,178,290,40,27,55,31,119,302
146,Cristiano Felício\feliccr01,C,28,CHI,10,0,45,3,4,.750,0,0,,3,4,.750,.750,6,10,.600,6,7,13,5,2,0,3,3,12
147,Terrance Ferguson\fergute01,SG,22,PHI,13,0,49,1,7,.143,0,5,.000,1,2,.500,.143,0,0,,0,1,1,2,1,0,4,7,2
148,Bruno Fernando\fernabr01,C,22,ATL,26,0,178,12,28,.429,0,2,.000,12,26,.462,.429,12,18,.667,13,51,64,9,2,3,18,20,36
149,Yogi Ferrell\ferreyo01,PG,27,CLE,2,0,40,8,21,.381,3,9,.333,5,12,.417,.452,0,2,.000,3,4,7,5,3,1,3,4,19
150,Dorian Finney-Smith\finnedo01,PF,27,DAL,42,42,1346,139,317,.438,75,207,.362,64,110,.582,.557,24,30,.800,72,164,236,67,36,19,26,104,377
151,Malik Fitts\fittsma01,PF,23,LAC,2,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,0,0,0,0,2,0
152,Malachi Flynn\flynnma01,PG,22,TOR,30,3,472,58,161,.360,24,79,.304,34,82,.415,.435,12,17,.706,4,51,55,69,21,5,23,34,152
153,Bryn Forbes\forbebr01,SG,27,MIL,52,7,993,175,386,.453,111,247,.449,64,139,.460,.597,30,40,.750,8,62,70,32,17,0,30,56,491
154,Trent Forrest\forretr01,PG,22,UTA,15,0,87,7,16,.438,0,3,.000,7,13,.538,.438,2,2,1.000,0,7,7,18,4,1,7,5,16
155,Evan Fournier\fournev01,SF-SG,28,TOT,30,26,902,186,407,.457,84,211,.398,102,196,.520,.560,101,127,.795,5,77,82,102,32,12,58,65,557
155,Evan Fournier\fournev01,SF,28,ORL,26,26,787,170,369,.461,73,188,.388,97,181,.536,.560,98,123,.797,5,70,75,95,27,9,54,55,511
155,Evan Fournier\fournev01,SG,28,BOS,4,0,115,16,38,.421,11,23,.478,5,15,.333,.566,3,4,.750,0,7,7,7,5,3,4,10,46
156,De'Aaron Fox\foxde01,PG,23,SAC,53,53,1853,480,1003,.479,99,301,.329,381,702,.543,.528,268,380,.705,28,154,182,378,74,25,162,158,1327
157,Robert Franks\frankro01,PF,24,ORL,1,0,15,1,1,1.000,1,1,1.000,0,0,,1.500,1,2,.500,2,2,4,1,0,0,2,2,4
158,Tim Frazier\fraziti01,PG,30,MEM,3,0,33,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,0,4,4,7,1,0,3,4,4
159,Markelle Fultz\fultzma01,PG,22,ORL,8,8,215,41,104,.394,4,16,.250,37,88,.420,.413,17,19,.895,5,20,25,43,8,2,18,18,103
160,Wenyen Gabriel\gabriwe01,PF,23,NOP,9,0,42,2,11,.182,1,5,.200,1,6,.167,.227,2,4,.500,7,7,14,5,1,0,7,2,7
161,Daniel Gafford\gaffoda01,PF-C,22,TOT,35,11,446,80,114,.702,0,0,,80,114,.702,.702,35,52,.673,51,72,123,19,14,40,26,57,195
161,Daniel Gafford\gaffoda01,PF,22,CHI,31,11,383,60,87,.690,0,0,,60,87,.690,.690,27,41,.659,44,59,103,17,11,34,22,54,147
161,Daniel Gafford\gaffoda01,C,22,WAS,4,0,63,20,27,.741,0,0,,20,27,.741,.741,8,11,.727,7,13,20,2,3,6,4,3,48
162,Danilo Gallinari\gallida01,PF,32,ATL,39,4,935,157,369,.425,83,204,.407,74,165,.448,.538,125,134,.933,11,147,158,55,22,7,38,80,522
163,Langston Galloway\gallola01,SG,29,PHO,34,0,377,57,121,.471,32,71,.451,25,50,.500,.603,17,17,1.000,5,30,35,24,6,0,11,23,163
164,Darius Garland\garlada01,PG,21,CLE,43,40,1431,280,625,.448,80,199,.402,200,426,.469,.512,86,101,.851,20,82,102,253,50,4,131,94,726
165,Marc Gasol\gasolma01,C,36,LAL,43,41,838,73,170,.429,39,105,.371,34,65,.523,.544,33,44,.750,31,143,174,89,23,53,50,98,218
166,Rudy Gay\gayru01,PF,34,SAS,45,0,978,183,443,.413,75,192,.391,108,251,.430,.498,59,75,.787,35,190,225,67,34,24,49,85,500
167,Paul George\georgpa01,SF,30,LAC,42,42,1411,346,723,.479,137,311,.441,209,412,.507,.573,150,167,.898,36,224,260,230,49,18,132,99,979
168,Taj Gibson\gibsota01,PF,35,NYK,28,1,567,52,92,.565,3,14,.214,49,78,.628,.582,30,43,.698,57,89,146,19,23,26,18,60,137
169,Harry Giles\gilesha01,C,22,POR,30,0,308,32,75,.427,7,15,.467,25,60,.417,.473,15,22,.682,29,89,118,23,6,10,18,50,86
170,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,35,1180,287,565,.508,71,170,.418,216,395,.547,.571,185,229,.808,19,147,166,207,27,23,106,70,830
171,Anthony Gill\gillan01,PF,28,WAS,17,1,92,7,20,.350,2,12,.167,5,8,.625,.400,4,5,.800,9,18,27,4,4,2,4,10,20
172,Freddie Gillespie\gillefr01,PF,23,TOR,3,0,39,5,8,.625,0,0,,5,8,.625,.625,0,0,,2,4,6,1,3,2,1,4,10
173,Rudy Gobert\goberru01,C,28,UTA,55,55,1705,301,451,.667,0,3,.000,301,448,.672,.667,192,311,.617,186,550,736,73,29,156,89,128,794
174,Brandon Goodwin\goodwbr01,PG,25,ATL,36,3,442,62,161,.385,27,76,.355,35,85,.412,.469,20,30,.667,6,41,47,67,14,0,25,30,171
175,Aaron Gordon\gordoaa01,PF,25,TOT,34,34,987,169,365,.463,49,135,.363,120,230,.522,.530,79,123,.642,47,158,205,128,24,27,76,64,466
175,Aaron Gordon\gordoaa01,PF,25,ORL,25,25,736,128,293,.437,42,112,.375,86,181,.475,.509,66,105,.629,39,127,166,105,16,20,67,49,364
175,Aaron Gordon\gordoaa01,PF,25,DEN,9,9,251,41,72,.569,7,23,.304,34,49,.694,.618,13,18,.722,8,31,39,23,8,7,9,15,102
176,Eric Gordon\gordoer01,SG,32,HOU,27,13,789,159,367,.433,69,210,.329,90,157,.573,.527,94,114,.825,8,50,58,71,14,13,51,44,481
177,Devonte' Graham\grahade01,PG,25,CHO,43,37,1276,192,509,.377,132,353,.374,60,156,.385,.507,93,113,.823,17,99,116,221,45,4,67,55,609
178,Jerami Grant\grantje01,SF,26,DET,48,48,1651,357,832,.429,108,301,.359,249,531,.469,.494,258,302,.854,34,197,231,138,33,53,96,111,1080
179,Danny Green\greenda02,SF,33,PHI,53,53,1499,177,420,.421,138,333,.414,39,87,.448,.586,21,29,.724,41,155,196,89,67,46,57,95,513
180,Draymond Green\greendr01,PF,30,GSW,46,46,1407,114,273,.418,25,93,.269,89,180,.494,.463,49,63,.778,43,254,297,386,73,34,132,146,302
181,JaMychal Green\greenja01,PF,30,DEN,41,4,756,120,264,.455,56,141,.397,64,123,.520,.561,34,41,.829,61,147,208,32,20,14,40,107,330
182,Javonte Green\greenja02,SG-PG,27,TOT,28,2,369,40,77,.519,7,23,.304,33,54,.611,.565,20,30,.667,22,36,58,12,20,4,16,35,107
182,Javonte Green\greenja02,SG,27,BOS,25,2,345,39,71,.549,7,22,.318,32,49,.653,.599,20,30,.667,20,32,52,11,18,2,13,32,105
182,Javonte Green\greenja02,PG,27,CHI,3,0,24,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,2,4,6,1,2,2,3,3,2
183,Jeff Green\greenje02,C,34,BRK,50,27,1330,177,358,.494,71,171,.415,106,187,.567,.594,83,110,.755,24,164,188,74,28,17,39,88,508
184,Josh Green\greenjo02,SG,20,DAL,28,5,284,26,60,.433,2,17,.118,24,43,.558,.450,9,15,.600,18,35,53,14,7,3,15,20,63
185,Blake Griffin\griffbl01,PF,31,TOT,29,21,797,104,269,.387,47,145,.324,57,124,.460,.474,59,81,.728,11,129,140,96,20,6,43,62,314
185,Blake Griffin\griffbl01,PF,31,DET,20,20,626,81,222,.365,39,124,.315,42,98,.429,.453,44,62,.710,7,97,104,77,14,2,32,42,245
185,Blake Griffin\griffbl01,PF,31,BRK,9,1,171,23,47,.489,8,21,.381,15,26,.577,.574,15,19,.789,4,32,36,19,6,4,11,20,69
186,Kyle Guy\guyky01,PG,23,SAC,22,0,152,22,58,.379,10,32,.313,12,26,.462,.466,10,12,.833,3,19,22,19,4,0,4,14,64
187,Rui Hachimura\hachiru01,PF,22,WAS,44,44,1392,234,494,.474,36,110,.327,198,384,.516,.510,106,137,.774,39,219,258,68,34,3,57,95,610
188,Ashton Hagans\haganas01,PG,21,MIN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
189,Tyrese Haliburton\halibty01,PG,20,SAC,48,15,1457,242,506,.478,100,244,.410,142,262,.542,.577,38,45,.844,36,115,151,244,59,27,72,74,622
190,Josh Hall\halljo01,SF,20,OKC,13,0,163,9,42,.214,2,18,.111,7,24,.292,.238,15,27,.556,1,24,25,18,0,0,15,19,35
191,R.J. Hampton\hamptrj01,PG-SG,19,TOT,34,1,443,64,141,.454,13,42,.310,51,99,.515,.500,17,28,.607,16,75,91,26,13,4,25,34,158
191,R.J. Hampton\hamptrj01,PG,19,DEN,25,0,233,25,60,.417,5,18,.278,20,42,.476,.458,9,12,.750,10,40,50,14,5,2,11,22,64
191,R.J. Hampton\hamptrj01,SG,19,ORL,9,1,210,39,81,.481,8,24,.333,31,57,.544,.531,8,16,.500,6,35,41,12,8,2,14,12,94
192,Tim Hardaway Jr.\hardati02,SG,28,DAL,52,20,1490,294,666,.441,151,385,.392,143,281,.509,.555,96,120,.800,15,163,178,89,25,7,48,79,835
193,James Harden\hardeja01,PG-SG,31,TOT,42,42,1558,334,722,.463,117,327,.358,217,395,.549,.544,275,316,.870,35,301,336,457,50,29,173,95,1060
193,James Harden\hardeja01,SG,31,HOU,8,8,290,60,135,.444,25,72,.347,35,63,.556,.537,53,60,.883,5,36,41,83,7,6,34,14,198
193,James Harden\hardeja01,PG,31,BRK,34,34,1268,274,587,.467,92,255,.361,182,332,.548,.545,222,256,.867,30,265,295,374,43,23,139,81,862
194,Maurice Harkless\harklma01,SF-PF,27,TOT,20,6,305,24,57,.421,11,37,.297,13,20,.650,.518,9,13,.692,3,31,34,18,9,7,8,37,68
194,Maurice Harkless\harklma01,SF,27,MIA,11,3,124,5,13,.385,5,11,.455,0,2,.000,.577,0,2,.000,2,11,13,7,2,4,3,14,15
194,Maurice Harkless\harklma01,PF,27,SAC,9,3,181,19,44,.432,6,26,.231,13,18,.722,.500,9,11,.818,1,20,21,11,7,3,5,23,53
195,Jared Harper\harpeja01,PG,23,NYK,4,0,9,0,2,.000,0,0,,0,2,.000,.000,2,2,1.000,0,0,0,0,0,0,2,0,2
196,Montrezl Harrell\harremo01,C,27,LAL,55,1,1345,316,509,.621,0,10,.000,316,499,.633,.621,150,212,.708,134,231,365,59,38,42,63,107,782
197,Gary Harris\harriga01,SG,26,TOT,21,20,626,75,176,.426,25,80,.313,50,96,.521,.497,26,34,.765,14,36,50,35,18,5,17,39,201
197,Gary Harris\harriga01,SG,26,DEN,19,19,581,69,156,.442,24,75,.320,45,81,.556,.519,22,30,.733,13,34,47,32,17,4,14,37,184
197,Gary Harris\harriga01,SG,26,ORL,2,1,45,6,20,.300,1,5,.200,5,15,.333,.325,4,4,1.000,1,2,3,3,1,1,3,2,17
198,Jalen Harris\harrija01,SG,22,TOR,4,0,14,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,2,3,2,1,0,1,2,3
199,Joe Harris\harrijo01,SF,29,BRK,54,50,1661,281,549,.512,171,355,.482,110,194,.567,.668,36,48,.750,35,164,199,101,34,10,43,111,769
200,Tobias Harris\harrito02,PF,28,PHI,48,48,1597,378,730,.518,68,169,.402,310,561,.553,.564,153,173,.884,49,299,348,174,44,41,90,98,977
201,Shaquille Harrison\harrish01,SG,27,UTA,17,0,56,6,20,.300,0,2,.000,6,18,.333,.300,5,6,.833,3,6,9,9,2,0,5,3,17
202,Josh Hart\hartjo01,SF,25,NOP,47,4,1349,151,344,.439,63,193,.326,88,151,.583,.531,69,89,.775,53,324,377,109,38,12,49,111,434
203,Isaiah Hartenstein\harteis01,C,22,TOT,37,2,436,68,125,.544,2,5,.400,66,120,.550,.552,38,61,.623,54,93,147,39,14,31,30,84,176
203,Isaiah Hartenstein\harteis01,C,22,DEN,30,0,272,41,80,.513,0,0,,41,80,.513,.513,22,36,.611,40,45,85,15,11,20,21,59,104
203,Isaiah Hartenstein\harteis01,C,22,CLE,7,2,164,27,45,.600,2,5,.400,25,40,.625,.622,16,25,.640,14,48,62,24,3,11,9,25,72
204,Jaxson Hayes\hayesja02,C,20,NOP,42,3,623,106,161,.658,3,6,.500,103,155,.665,.668,51,68,.750,52,108,160,24,16,21,30,76,266
205,Killian Hayes\hayeski01,PG,19,DET,11,7,230,22,69,.319,7,27,.259,15,42,.357,.370,3,4,.750,2,20,22,38,7,4,27,20,54
206,Gordon Hayward\haywago01,SF,30,CHO,44,44,1496,311,658,.473,85,205,.415,226,453,.499,.537,156,185,.843,37,221,258,181,52,14,91,74,863
207,Juan Hernangómez\hernaju01,PF,25,MIN,36,6,583,78,185,.422,31,99,.313,47,86,.547,.505,40,60,.667,34,113,147,21,13,3,16,34,227
208,Willy Hernangómez\hernawi01,C,26,NOP,32,2,500,86,158,.544,1,8,.125,85,150,.567,.547,29,48,.604,74,126,200,30,10,15,16,33,202
209,Tyler Herro\herroty01,SG,21,MIA,43,14,1356,248,574,.432,81,240,.338,167,334,.500,.503,86,106,.811,21,193,214,142,32,16,88,57,663
210,Buddy Hield\hieldbu01,SG,28,SAC,53,53,1831,300,757,.396,213,558,.382,87,199,.437,.537,64,76,.842,21,220,241,169,43,18,92,137,877
211,George Hill\hillge01,PG,34,OKC,14,14,369,61,120,.508,22,57,.386,39,63,.619,.600,21,25,.840,8,21,29,43,12,2,12,12,165
212,Solomon Hill\hillso01,PF,29,ATL,54,9,1092,83,227,.366,54,168,.321,29,59,.492,.485,23,30,.767,32,110,142,52,40,9,31,85,243
213,Nate Hinton\hintona01,SG,21,DAL,14,0,48,8,20,.400,1,6,.167,7,14,.500,.425,4,6,.667,1,4,5,4,4,1,4,3,21
214,Jaylen Hoard\hoardja01,SF,21,OKC,5,0,106,15,31,.484,0,4,.000,15,27,.556,.484,13,15,.867,6,9,15,4,2,1,7,7,43
215,Aaron Holiday\holidaa01,PG,24,IND,51,6,897,138,346,.399,56,149,.376,82,197,.416,.480,43,56,.768,8,54,62,85,32,9,47,80,375
216,Jrue Holiday\holidjr01,PG,30,MIL,41,38,1298,278,549,.506,78,195,.400,200,354,.565,.577,67,81,.827,52,135,187,222,71,22,88,70,701
217,Justin Holiday\holidju01,SG,31,IND,53,44,1659,198,473,.419,131,342,.383,67,131,.511,.557,52,65,.800,27,168,195,90,66,20,44,104,579
218,Rondae Hollis-Jefferson\holliro01,PF,26,POR,2,0,12,1,2,.500,0,1,.000,1,1,1.000,.500,2,4,.500,0,1,1,3,1,0,1,5,4
219,Richaun Holmes\holmeri01,C,27,SAC,50,50,1499,297,463,.641,2,10,.200,295,453,.651,.644,110,138,.797,128,319,447,83,34,82,61,182,706
220,Rodney Hood\hoodro01,SF,28,TOT,45,5,844,86,236,.364,32,105,.305,54,131,.412,.432,15,19,.789,20,68,88,49,21,6,35,69,219
220,Rodney Hood\hoodro01,SF,28,POR,38,5,726,73,201,.363,25,84,.298,48,117,.410,.425,9,12,.750,18,55,73,47,20,4,31,59,180
220,Rodney Hood\hoodro01,SF,28,TOR,7,0,118,13,35,.371,7,21,.333,6,14,.429,.471,6,7,.857,2,13,15,2,1,2,4,10,39
221,Al Horford\horfoal01,C,34,OKC,28,28,782,162,360,.450,56,152,.368,106,208,.510,.528,18,22,.818,29,159,188,94,25,26,29,48,398
222,Talen Horton-Tucker\hortota01,SG,20,LAL,50,3,973,164,375,.437,28,104,.269,136,271,.502,.475,68,84,.810,20,113,133,124,46,20,74,102,424
223,Danuel House\houseda01,SF,27,HOU,31,21,843,99,244,.406,50,139,.360,49,105,.467,.508,39,59,.661,18,103,121,59,19,14,30,61,287
224,Dwight Howard\howardw01,C,35,PHI,54,5,940,134,230,.583,4,16,.250,130,214,.607,.591,95,164,.579,141,305,446,39,24,50,96,164,367
225,Markus Howard\howarma02,SG,21,DEN,25,0,83,10,43,.233,5,30,.167,5,13,.385,.291,1,2,.500,0,8,8,9,2,0,6,12,26
226,Kevin Huerter\huertke01,SG,22,ATL,55,40,1694,246,581,.423,112,309,.362,134,272,.493,.520,43,52,.827,31,147,178,195,63,13,64,131,647
227,Elijah Hughes\hugheel01,SF,22,UTA,11,0,39,8,19,.421,6,14,.429,2,5,.400,.579,3,4,.750,0,7,7,4,1,1,5,0,25
228,De'Andre Hunter\huntede01,SF,23,ATL,20,18,625,112,223,.502,31,87,.356,81,136,.596,.572,65,75,.867,16,86,102,42,18,10,27,53,320
229,Chandler Hutchison\hutchch01,SF,24,TOT,13,0,176,18,54,.333,3,13,.231,15,41,.366,.361,9,11,.818,4,39,43,9,4,0,14,17,48
229,Chandler Hutchison\hutchch01,SF,24,CHI,7,0,64,5,18,.278,1,3,.333,4,15,.267,.306,2,2,1.000,1,19,20,4,1,0,5,9,13
229,Chandler Hutchison\hutchch01,SF,24,WAS,6,0,112,13,36,.361,2,10,.200,11,26,.423,.389,7,9,.778,3,20,23,5,3,0,9,8,35
230,Serge Ibaka\ibakase01,C,31,LAC,39,39,919,176,347,.507,38,108,.352,138,239,.577,.562,37,45,.822,68,193,261,68,9,46,44,74,427
231,Andre Iguodala\iguodan01,SF,37,MIA,49,2,1045,73,197,.371,49,151,.325,24,46,.522,.495,21,33,.636,31,152,183,100,50,24,50,66,216
232,Ersan İlyasova\ilyaser01,PF,33,UTA,7,0,44,4,15,.267,3,13,.231,1,2,.500,.367,3,3,1.000,3,6,9,2,2,0,2,8,14
233,Joe Ingles\inglejo01,SF,33,UTA,50,14,1341,203,390,.521,135,277,.487,68,113,.602,.694,57,66,.864,22,159,181,209,34,10,78,91,598
234,Brandon Ingram\ingrabr01,SF,23,NOP,49,49,1687,415,881,.471,118,308,.383,297,573,.518,.538,227,258,.880,29,215,244,235,33,34,123,98,1175
235,Kyrie Irving\irvinky01,PG,28,BRK,38,38,1337,404,786,.514,106,266,.398,298,520,.573,.581,136,150,.907,42,142,184,228,45,22,85,105,1050
236,Wesley Iwundu\iwundwe01,SF,26,TOT,30,4,422,28,79,.354,5,35,.143,23,44,.523,.386,23,27,.852,10,58,68,14,13,4,16,39,84
236,Wesley Iwundu\iwundwe01,SF,26,DAL,23,3,288,17,52,.327,3,23,.130,14,29,.483,.356,12,14,.857,6,38,44,10,9,3,6,26,49
236,Wesley Iwundu\iwundwe01,SF,26,NOP,7,1,134,11,27,.407,2,12,.167,9,15,.600,.444,11,13,.846,4,20,24,4,4,1,10,13,35
237,Frank Jackson\jacksfr01,PG,22,DET,25,4,368,62,138,.449,31,74,.419,31,64,.484,.562,32,37,.865,9,34,43,17,8,0,21,25,187
238,Josh Jackson\jacksjo02,SG,23,DET,49,14,1206,234,549,.426,62,199,.312,172,350,.491,.483,111,155,.716,46,153,199,103,44,35,102,139,641
239,Justin Jackson\jacksju01,SF,25,OKC,33,3,544,86,212,.406,34,111,.306,52,101,.515,.486,30,35,.857,14,57,71,51,15,2,31,31,236
240,Reggie Jackson\jacksre01,SG,30,LAC,53,31,1167,194,424,.458,84,199,.422,110,225,.489,.557,55,69,.797,18,129,147,163,32,6,59,106,527
241,Justin James\jamesju01,SF,24,SAC,25,0,151,18,42,.429,5,17,.294,13,25,.520,.488,5,12,.417,3,8,11,15,3,1,6,10,46
242,LeBron James\jamesle01,PG,36,LAL,41,41,1388,388,756,.513,98,266,.368,290,490,.592,.578,168,239,.703,24,299,323,323,43,24,152,65,1042
243,DaQuan Jeffries\jeffrda01,SG,23,TOT,19,2,235,24,57,.421,9,28,.321,15,29,.517,.500,6,7,.857,9,20,29,7,7,4,8,23,63
243,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,2,232,24,57,.421,9,28,.321,15,29,.517,.500,6,7,.857,9,20,29,6,7,4,8,23,63
243,DaQuan Jeffries\jeffrda01,SG,23,HOU,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
244,Ty Jerome\jeromty01,SG,23,OKC,21,1,529,78,180,.433,44,109,.404,34,71,.479,.556,10,17,.588,10,52,62,75,12,4,27,39,210
245,Isaiah Joe\joeis01,SG,21,PHI,29,1,283,32,95,.337,25,75,.333,7,20,.350,.468,8,9,.889,6,23,29,17,8,4,6,27,97
246,Alize Johnson\johnsal02,PF,24,BRK,7,0,90,24,36,.667,0,3,.000,24,33,.727,.667,1,1,1.000,11,25,36,6,3,2,3,4,49
247,Cameron Johnson\johnsca02,PF,24,PHO,48,9,1118,168,373,.450,102,259,.394,66,114,.579,.587,39,45,.867,26,132,158,68,30,15,36,71,477
248,James Johnson\johnsja01,PF,33,TOT,37,6,727,97,214,.453,24,85,.282,73,129,.566,.509,29,47,.617,21,96,117,74,33,34,40,83,247
248,James Johnson\johnsja01,PF,33,DAL,29,1,504,67,145,.462,15,60,.250,52,85,.612,.514,17,29,.586,14,72,86,50,24,23,27,59,166
248,James Johnson\johnsja01,PF,33,NOP,8,5,223,30,69,.435,9,25,.360,21,44,.477,.500,12,18,.667,7,24,31,24,9,11,13,24,81
249,Keldon Johnson\johnske04,SF,21,SAS,49,47,1402,240,504,.476,42,128,.328,198,376,.527,.518,108,147,.735,75,243,318,90,26,24,54,106,630
250,Stanley Johnson\johnsst04,PF,24,TOR,47,6,690,50,129,.388,26,76,.342,24,53,.453,.488,19,24,.792,21,87,108,58,34,15,33,85,145
251,Tyler Johnson\johnsty01,SG,28,BRK,31,2,522,56,142,.394,38,101,.376,18,41,.439,.528,16,19,.842,5,54,59,29,12,0,13,31,166
252,Nikola Jokić\jokicni01,C,25,DEN,54,54,1913,557,985,.565,76,182,.418,481,803,.599,.604,223,261,.854,154,435,589,475,79,34,170,144,1413
253,Damian Jones\jonesda03,C,25,TOT,23,6,225,25,34,.735,0,1,.000,25,33,.758,.735,17,23,.739,16,30,46,7,3,13,12,43,67
253,Damian Jones\jonesda03,C,25,PHO,14,0,94,8,16,.500,0,1,.000,8,15,.533,.500,6,11,.545,7,11,18,4,1,5,6,19,22
253,Damian Jones\jonesda03,C,25,LAL,8,6,112,16,17,.941,0,0,,16,17,.941,.941,11,12,.917,8,18,26,1,1,7,5,22,43
253,Damian Jones\jonesda03,C,25,SAC,1,0,19,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,1,2,2,1,1,1,2,2
254,Derrick Jones Jr.\jonesde02,SF,23,POR,49,40,1203,137,280,.489,42,127,.331,95,153,.621,.564,52,82,.634,73,123,196,39,34,50,29,112,368
255,Mason Jones\jonesma05,SG,22,TOT,30,1,322,51,120,.425,24,66,.364,27,54,.500,.525,35,57,.614,6,48,54,41,6,1,28,22,161
255,Mason Jones\jonesma05,SG,22,HOU,26,1,307,47,114,.412,23,64,.359,24,50,.480,.513,35,57,.614,4,47,51,39,6,1,28,22,152
255,Mason Jones\jonesma05,SG,22,PHI,4,0,15,4,6,.667,1,2,.500,3,4,.750,.750,0,0,,2,1,3,2,0,0,0,0,9
256,Tre Jones\jonestr01,PG,21,SAS,25,0,118,19,40,.475,1,1,1.000,18,39,.462,.488,5,5,1.000,5,6,11,14,4,0,10,5,44
257,Tyus Jones\jonesty01,PG,24,MEM,52,8,1001,148,339,.437,36,113,.319,112,226,.496,.490,32,35,.914,20,98,118,209,54,5,40,24,364
258,DeAndre Jordan\jordade01,C,32,BRK,47,36,1043,161,208,.774,0,1,.000,161,207,.778,.774,35,70,.500,93,245,338,77,14,57,70,99,357
259,Cory Joseph\josepco01,PG,29,TOT,55,5,1217,160,343,.466,36,109,.330,124,234,.530,.519,62,76,.816,31,104,135,175,52,14,65,123,418
259,Cory Joseph\josepco01,PG,29,SAC,44,2,944,111,250,.444,31,94,.330,80,156,.513,.506,36,47,.766,25,74,99,108,39,9,44,98,289
259,Cory Joseph\josepco01,PG,29,DET,11,3,273,49,93,.527,5,15,.333,44,78,.564,.554,26,29,.897,6,30,36,67,13,5,21,25,129
260,Mfiondu Kabengele\kabenmf01,PF,23,TOT,25,0,114,11,36,.306,5,21,.238,6,15,.400,.375,5,6,.833,1,18,19,6,4,3,7,22,32
260,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,0,94,9,32,.281,4,18,.222,5,14,.357,.344,5,6,.833,1,13,14,5,2,3,6,18,27
