Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
217,Justin Holiday\holidju01,SG,31,IND,53,44,31.3,3.7,8.9,.419,2.5,6.5,.383,1.3,2.5,.511,.557,1.0,1.2,.800,0.5,3.2,3.7,1.7,1.2,0.4,0.8,2.0,10.9
218,Rondae Hollis-Jefferson\holliro01,PF,26,POR,2,0,6.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,1.0,2.0,.500,0.0,0.5,0.5,1.5,0.5,0.0,0.5,2.5,2.0
219,Richaun Holmes\holmeri01,C,27,SAC,50,50,30.0,5.9,9.3,.641,0.0,0.2,.200,5.9,9.1,.651,.644,2.2,2.8,.797,2.6,6.4,8.9,1.7,0.7,1.6,1.2,3.6,14.1
220,Rodney Hood\hoodro01,SF,28,TOT,45,5,18.8,1.9,5.2,.364,0.7,2.3,.305,1.2,2.9,.412,.432,0.3,0.4,.789,0.4,1.5,2.0,1.1,0.5,0.1,0.8,1.5,4.9
220,Rodney Hood\hoodro01,SF,28,POR,38,5,19.1,1.9,5.3,.363,0.7,2.2,.298,1.3,3.1,.410,.425,0.2,0.3,.750,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
220,Rodney Hood\hoodro01,SF,28,TOR,7,0,16.9,1.9,5.0,.371,1.0,3.0,.333,0.9,2.0,.429,.471,0.9,1.0,.857,0.3,1.9,2.1,0.3,0.1,0.3,0.6,1.4,5.6
221,Al Horford\horfoal01,C,34,OKC,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,.528,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2
222,Talen Horton-Tucker\hortota01,SG,20,LAL,50,3,19.5,3.3,7.5,.437,0.6,2.1,.269,2.7,5.4,.502,.475,1.4,1.7,.810,0.4,2.3,2.7,2.5,0.9,0.4,1.5,2.0,8.5
223,Danuel House\houseda01,SF,27,HOU,31,21,27.2,3.2,7.9,.406,1.6,4.5,.360,1.6,3.4,.467,.508,1.3,1.9,.661,0.6,3.3,3.9,1.9,0.6,0.5,1.0,2.0,9.3
224,Dwight Howard\howardw01,C,35,PHI,54,5,17.4,2.5,4.3,.583,0.1,0.3,.250,2.4,4.0,.607,.591,1.8,3.0,.579,2.6,5.6,8.3,0.7,0.4,0.9,1.8,3.0,6.8
225,Markus Howard\howarma02,SG,21,DEN,25,0,3.3,0.4,1.7,.233,0.2,1.2,.167,0.2,0.5,.385,.291,0.0,0.1,.500,0.0,0.3,0.3,0.4,0.1,0.0,0.2,0.5,1.0
226,Kevin Huerter\huertke01,SG,22,ATL,55,40,30.8,4.5,10.6,.423,2.0,5.6,.362,2.4,4.9,.493,.520,0.8,0.9,.827,0.6,2.7,3.2,3.5,1.1,0.2,1.2,2.4,11.8
227,Elijah Hughes\hugheel01,SF,22,UTA,11,0,3.5,0.7,1.7,.421,0.5,1.3,.429,0.2,0.5,.400,.579,0.3,0.4,.750,0.0,0.6,0.6,0.4,0.1,0.1,0.5,0.0,2.3
228,De'Andre Hunter\huntede01,SF,23,ATL,20,18,31.3,5.6,11.2,.502,1.6,4.4,.356,4.1,6.8,.596,.572,3.3,3.8,.867,0.8,4.3,5.1,2.1,0.9,0.5,1.4,2.7,16.0
229,Chandler Hutchison\hutchch01,SF,24,TOT,13,0,13.5,1.4,4.2,.333,0.2,1.0,.231,1.2,3.2,.366,.361,0.7,0.8,.818,0.3,3.0,3.3,0.7,0.3,0.0,1.1,1.3,3.7
229,Chandler Hutchison\hutchch01,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
229,Chandler Hutchison\hutchch01,SF,24,WAS,6,0,18.7,2.2,6.0,.361,0.3,1.7,.200,1.8,4.3,.423,.389,1.2,1.5,.778,0.5,3.3,3.8,0.8,0.5,0.0,1.5,1.3,5.8
230,Serge Ibaka\ibakase01,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
231,Andre Iguodala\iguodan01,SF,37,MIA,49,2,21.3,1.5,4.0,.371,1.0,3.1,.325,0.5,0.9,.522,.495,0.4,0.7,.636,0.6,3.1,3.7,2.0,1.0,0.5,1.0,1.3,4.4
232,Ersan İlyasova\ilyaser01,PF,33,UTA,7,0,6.3,0.6,2.1,.267,0.4,1.9,.231,0.1,0.3,.500,.367,0.4,0.4,1.000,0.4,0.9,1.3,0.3,0.3,0.0,0.3,1.1,2.0
233,Joe Ingles\inglejo01,SF,33,UTA,50,14,26.8,4.1,7.8,.521,2.7,5.5,.487,1.4,2.3,.602,.694,1.1,1.3,.864,0.4,3.2,3.6,4.2,0.7,0.2,1.6,1.8,12.0
234,Brandon Ingram\ingrabr01,SF,23,NOP,49,49,34.4,8.5,18.0,.471,2.4,6.3,.383,6.1,11.7,.518,.538,4.6,5.3,.880,0.6,4.4,5.0,4.8,0.7,0.7,2.5,2.0,24.0
235,Kyrie Irving\irvinky01,PG,28,BRK,38,38,35.2,10.6,20.7,.514,2.8,7.0,.398,7.8,13.7,.573,.581,3.6,3.9,.907,1.1,3.7,4.8,6.0,1.2,0.6,2.2,2.8,27.6
236,Wesley Iwundu\iwundwe01,SF,26,TOT,30,4,14.1,0.9,2.6,.354,0.2,1.2,.143,0.8,1.5,.523,.386,0.8,0.9,.852,0.3,1.9,2.3,0.5,0.4,0.1,0.5,1.3,2.8
236,Wesley Iwundu\iwundwe01,SF,26,DAL,23,3,12.5,0.7,2.3,.327,0.1,1.0,.130,0.6,1.3,.483,.356,0.5,0.6,.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1
236,Wesley Iwundu\iwundwe01,SF,26,NOP,7,1,19.1,1.6,3.9,.407,0.3,1.7,.167,1.3,2.1,.600,.444,1.6,1.9,.846,0.6,2.9,3.4,0.6,0.6,0.1,1.4,1.9,5.0
237,Frank Jackson\jacksfr01,PG,22,DET,25,4,14.7,2.5,5.5,.449,1.2,3.0,.419,1.2,2.6,.484,.562,1.3,1.5,.865,0.4,1.4,1.7,0.7,0.3,0.0,0.8,1.0,7.5
238,Josh Jackson\jacksjo02,SG,23,DET,49,14,24.6,4.8,11.2,.426,1.3,4.1,.312,3.5,7.1,.491,.483,2.3,3.2,.716,0.9,3.1,4.1,2.1,0.9,0.7,2.1,2.8,13.1
239,Justin Jackson\jacksju01,SF,25,OKC,33,3,16.5,2.6,6.4,.406,1.0,3.4,.306,1.6,3.1,.515,.486,0.9,1.1,.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
240,Reggie Jackson\jacksre01,SG,30,LAC,53,31,22.0,3.7,8.0,.458,1.6,3.8,.422,2.1,4.2,.489,.557,1.0,1.3,.797,0.3,2.4,2.8,3.1,0.6,0.1,1.1,2.0,9.9
241,Justin James\jamesju01,SF,24,SAC,25,0,6.0,0.7,1.7,.429,0.2,0.7,.294,0.5,1.0,.520,.488,0.2,0.5,.417,0.1,0.3,0.4,0.6,0.1,0.0,0.2,0.4,1.8
242,LeBron James\jamesle01,PG,36,LAL,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,.578,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4
243,DaQuan Jeffries\jeffrda01,SG,23,TOT,19,2,12.4,1.3,3.0,.421,0.5,1.5,.321,0.8,1.5,.517,.500,0.3,0.4,.857,0.5,1.1,1.5,0.4,0.4,0.2,0.4,1.2,3.3
243,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,2,12.9,1.3,3.2,.421,0.5,1.6,.321,0.8,1.6,.517,.500,0.3,0.4,.857,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3,3.5
243,DaQuan Jeffries\jeffrda01,SG,23,HOU,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
244,Ty Jerome\jeromty01,SG,23,OKC,21,1,25.2,3.7,8.6,.433,2.1,5.2,.404,1.6,3.4,.479,.556,0.5,0.8,.588,0.5,2.5,3.0,3.6,0.6,0.2,1.3,1.9,10.0
245,Isaiah Joe\joeis01,SG,21,PHI,29,1,9.8,1.1,3.3,.337,0.9,2.6,.333,0.2,0.7,.350,.468,0.3,0.3,.889,0.2,0.8,1.0,0.6,0.3,0.1,0.2,0.9,3.3
246,Alize Johnson\johnsal02,PF,24,BRK,7,0,12.9,3.4,5.1,.667,0.0,0.4,.000,3.4,4.7,.727,.667,0.1,0.1,1.000,1.6,3.6,5.1,0.9,0.4,0.3,0.4,0.6,7.0
247,Cameron Johnson\johnsca02,PF,24,PHO,48,9,23.3,3.5,7.8,.450,2.1,5.4,.394,1.4,2.4,.579,.587,0.8,0.9,.867,0.5,2.8,3.3,1.4,0.6,0.3,0.8,1.5,9.9
248,James Johnson\johnsja01,PF,33,TOT,37,6,19.6,2.6,5.8,.453,0.6,2.3,.282,2.0,3.5,.566,.509,0.8,1.3,.617,0.6,2.6,3.2,2.0,0.9,0.9,1.1,2.2,6.7
248,James Johnson\johnsja01,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
248,James Johnson\johnsja01,PF,33,NOP,8,5,27.9,3.8,8.6,.435,1.1,3.1,.360,2.6,5.5,.477,.500,1.5,2.3,.667,0.9,3.0,3.9,3.0,1.1,1.4,1.6,3.0,10.1
249,Keldon Johnson\johnske04,SF,21,SAS,49,47,28.6,4.9,10.3,.476,0.9,2.6,.328,4.0,7.7,.527,.518,2.2,3.0,.735,1.5,5.0,6.5,1.8,0.5,0.5,1.1,2.2,12.9
250,Stanley Johnson\johnsst04,PF,24,TOR,47,6,14.7,1.1,2.7,.388,0.6,1.6,.342,0.5,1.1,.453,.488,0.4,0.5,.792,0.4,1.9,2.3,1.2,0.7,0.3,0.7,1.8,3.1
251,Tyler Johnson\johnsty01,SG,28,BRK,31,2,16.8,1.8,4.6,.394,1.2,3.3,.376,0.6,1.3,.439,.528,0.5,0.6,.842,0.2,1.7,1.9,0.9,0.4,0.0,0.4,1.0,5.4
252,Nikola Jokić\jokicni01,C,25,DEN,54,54,35.4,10.3,18.2,.565,1.4,3.4,.418,8.9,14.9,.599,.604,4.1,4.8,.854,2.9,8.1,10.9,8.8,1.5,0.6,3.1,2.7,26.2
253,Damian Jones\jonesda03,C,25,TOT,23,6,9.8,1.1,1.5,.735,0.0,0.0,.000,1.1,1.4,.758,.735,0.7,1.0,.739,0.7,1.3,2.0,0.3,0.1,0.6,0.5,1.9,2.9
253,Damian Jones\jonesda03,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
253,Damian Jones\jonesda03,C,25,LAL,8,6,14.0,2.0,2.1,.941,0.0,0.0,,2.0,2.1,.941,.941,1.4,1.5,.917,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
253,Damian Jones\jonesda03,C,25,SAC,1,0,19.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
254,Derrick Jones Jr.\jonesde02,SF,23,POR,49,40,24.6,2.8,5.7,.489,0.9,2.6,.331,1.9,3.1,.621,.564,1.1,1.7,.634,1.5,2.5,4.0,0.8,0.7,1.0,0.6,2.3,7.5
255,Mason Jones\jonesma05,SG,22,TOT,30,1,10.7,1.7,4.0,.425,0.8,2.2,.364,0.9,1.8,.500,.525,1.2,1.9,.614,0.2,1.6,1.8,1.4,0.2,0.0,0.9,0.7,5.4
255,Mason Jones\jonesma05,SG,22,HOU,26,1,11.8,1.8,4.4,.412,0.9,2.5,.359,0.9,1.9,.480,.513,1.3,2.2,.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8
255,Mason Jones\jonesma05,SG,22,PHI,4,0,3.8,1.0,1.5,.667,0.3,0.5,.500,0.8,1.0,.750,.750,0.0,0.0,,0.5,0.3,0.8,0.5,0.0,0.0,0.0,0.0,2.3
256,Tre Jones\jonestr01,PG,21,SAS,25,0,4.7,0.8,1.6,.475,0.0,0.0,1.000,0.7,1.6,.462,.488,0.2,0.2,1.000,0.2,0.2,0.4,0.6,0.2,0.0,0.4,0.2,1.8
257,Tyus Jones\jonesty01,PG,24,MEM,52,8,19.3,2.8,6.5,.437,0.7,2.2,.319,2.2,4.3,.496,.490,0.6,0.7,.914,0.4,1.9,2.3,4.0,1.0,0.1,0.8,0.5,7.0
258,DeAndre Jordan\jordade01,C,32,BRK,47,36,22.2,3.4,4.4,.774,0.0,0.0,.000,3.4,4.4,.778,.774,0.7,1.5,.500,2.0,5.2,7.2,1.6,0.3,1.2,1.5,2.1,7.6
259,Cory Joseph\josepco01,PG,29,TOT,55,5,22.1,2.9,6.2,.466,0.7,2.0,.330,2.3,4.3,.530,.519,1.1,1.4,.816,0.6,1.9,2.5,3.2,0.9,0.3,1.2,2.2,7.6
259,Cory Joseph\josepco01,PG,29,SAC,44,2,21.5,2.5,5.7,.444,0.7,2.1,.330,1.8,3.5,.513,.506,0.8,1.1,.766,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6
259,Cory Joseph\josepco01,PG,29,DET,11,3,24.8,4.5,8.5,.527,0.5,1.4,.333,4.0,7.1,.564,.554,2.4,2.6,.897,0.5,2.7,3.3,6.1,1.2,0.5,1.9,2.3,11.7
260,Mfiondu Kabengele\kabenmf01,PF,23,TOT,25,0,4.6,0.4,1.4,.306,0.2,0.8,.238,0.2,0.6,.400,.375,0.2,0.2,.833,0.0,0.7,0.8,0.2,0.2,0.1,0.3,0.9,1.3
260,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,0,4.1,0.4,1.4,.281,0.2,0.8,.222,0.2,0.6,.357,.344,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
260,Mfiondu Kabengele\kabenmf01,PF,23,CLE,2,0,10.0,1.0,2.0,.500,0.5,1.5,.333,0.5,0.5,1.000,.625,0.0,0.0,,0.0,2.5,2.5,0.5,1.0,0.0,0.5,2.0,2.5
261,Frank Kaminsky\kaminfr01,C,27,PHO,33,13,14.8,2.5,5.3,.469,0.8,1.9,.406,1.7,3.4,.505,.543,0.7,1.1,.629,0.7,2.9,3.6,1.6,0.3,0.4,0.5,1.3,6.4
262,Enes Kanter\kanteen01,C,28,POR,54,34,26.5,5.1,8.3,.608,0.0,0.0,.000,5.1,8.3,.609,.608,1.9,2.5,.784,4.3,7.5,11.9,1.3,0.5,0.7,1.3,2.6,12.1
263,Luke Kennard\kennalu01,SG,24,LAC,50,12,19.2,3.0,6.2,.489,1.6,3.4,.470,1.4,2.8,.511,.617,0.3,0.4,.842,0.2,2.4,2.6,1.7,0.3,0.2,0.8,1.6,7.9
264,Maxi Kleber\klebima01,PF,29,DAL,38,32,27.9,2.4,5.5,.438,1.8,4.2,.434,0.6,1.3,.449,.603,0.8,0.9,.914,0.9,4.5,5.4,1.3,0.6,0.7,0.7,2.3,7.4
265,Nathan Knight\knighna01,PF,23,ATL,24,0,8.3,1.1,2.9,.386,0.2,0.8,.250,0.9,2.1,.440,.421,1.3,1.6,.795,0.8,1.3,2.0,0.3,0.3,0.3,0.6,0.7,3.8
