

************** COLLEY Rating Method **************
===========================
Rank   Rating    Team   
===========================
   1   1.07328   North_Carolina
   2   1.04528   UCLA
   3   1.03382   Tennessee
   4   1.03086   Memphis
   5   1.00198   Wisconsin
   6   1.00125   Kansas
   7   0.99002   Georgetown
   8   0.98292   Drake
   9   0.98165   Duke
  10   0.97614   Texas
  11   0.94527   Louisville
  12   0.93932   Xavier
  13   0.93207   Butler
  14   0.90021   Stanford
  15   0.89695   Connecticut
  16   0.89143   Purdue
  17   0.87269   Pittsburgh
  18   0.87251   Notre_Dame
  19   0.87122   Clemson
  20   0.85701   Kent
  21   0.85677   W_Kentucky
  22   0.85511   Indiana
  23   0.85500   Davidson
  24   0.84858   BYU
  25   0.84071   USC
  26   0.83598   Marquette
  27   0.83581   Kentucky
  28   0.83535   Vanderbilt
  29   0.83188   UNLV
  30   0.83173   Mississippi_St
  31   0.82548   Illinois_St
  32   0.82005   Temple
  33   0.81828   West_Virginia
  34   0.81001   Washington_St
  35   0.80482   Michigan_St
  36   0.79025   Gonzaga
  37   0.78525   VA_Commonwealth
  38   0.78191   Arkansas
  39   0.77964   Oklahoma
  40   0.77558   Creighton
  41   0.77266   South_Alabama
  42   0.76759   Cornell
  43   0.76754   Texas_A&M
  44   0.76207   Virginia_Tech
  45   0.75935   St_Joseph's_PA
  46   0.75821   Kansas_St
  47   0.74722   Oral_Roberts
  48   0.74568   Baylor
  49   0.74533   Massachusetts
  50   0.74456   Miami_FL
  51   0.74065   UAB
  52   0.73912   St_Mary's_CA
  53   0.73751   Belmont
  54   0.72842   S_Illinois
  55   0.72691   Bradley
  56   0.72542   Arizona
  57   0.72104   George_Mason
  58   0.71863   Siena
  59   0.71623   SF_Austin
  60   0.71349   Villanova
  61   0.71309   Charlotte
  62   0.71241   Wright_St
  63   0.70992   New_Mexico
  64   0.70883   San_Diego
  65   0.70351   Syracuse
  66   0.70101   IUPUI
  67   0.70066   Maryland
  68   0.69804   Robert_Morris
  69   0.69416   Florida
  70   0.69407   Oregon
  71   0.69059   Akron
  72   0.69031   Rider
  73   0.68682   Dayton
  74   0.68479   Cleveland_St
  75   0.68471   Portland_St
  76   0.68385   Florida_St
  77   0.68001   CS_Fullerton
  78   0.67899   Oklahoma_St
  79   0.67557   Boise_St
  80   0.67207   W_Michigan
  81   0.67165   Houston
  82   0.67165   Mississippi
  83   0.67077   Ohio_St
  84   0.66297   Georgia_Tech
  85   0.66170   Nebraska
  86   0.66123   American_Univ
  87   0.65934   Arizona_St
  88   0.65359   Minnesota
  89   0.64878   MD_Baltimore_Co
  90   0.64830   Texas_Tech
  91   0.64799   Northern_Iowa
  92   0.64698   Utah_St
  93   0.64423   Georgia
  94   0.64180   Ohio
  95   0.63790   UNC_Wilmington
  96   0.63617   Santa_Barbara
  97   0.63241   Southern_Miss
