

************** COLLEY Rating Method **************
===========================
Rank   Rating    Team   
 221   0.38397   New_Orleans
 222   0.38068   Pacific
 223   0.38059   Harvard
 224   0.38007   Georgia_St
 225   0.38005   Fairfield
 226   0.37614   Troy
 227   0.37141   Army
 228   0.36760   CS_Northridge
 229   0.36522   Navy
 230   0.36459   SF_Austin
 231   0.36374   Hampton
 232   0.36265   WI_Milwaukee
 233   0.36023   McNeese_St
 234   0.35898   Bowling_Green
 235   0.35792   Ark_Little_Rock
 236   0.35754   Boston_Univ
 237   0.34630   Manhattan
 238   0.33954   Missouri_KC
 239   0.33737   Hartford
 240   0.32997   Brown
 241   0.32889   UMBC
 242   0.32364   Binghamton
 243   0.32012   Quinnipiac
 244   0.32003   La_Salle
 245   0.31977   F_Dickinson
 246   0.31946   Ball_St
 247   0.31788   W_Carolina
 248   0.31763   Coastal_Car
 249   0.31757   Florida_Intl
 250   0.31729   Princeton
 251   0.31721   Chicago_St
 252   0.31010   Campbell
 253   0.30963   Lehigh
 254   0.30904   Coppin_St
 255   0.30833   Richmond
 256   0.30643   UT_Arlington
 257   0.30633   PFW
 258   0.30583   Cleveland_St
 259   0.30236   Portland
 260   0.30084   Canisius
 261   0.29940   Pepperdine
 262   0.29411   Kennesaw
 263   0.29376   Mercer
 264   0.29326   Monmouth_NJ
 265   0.29262   Centenary
 266   0.29241   UNC_Wilmington
 267   0.28792   Liberty
 268   0.28579   Dartmouth
 269   0.28438   Tennessee_St
 270   0.28363   NC_A&T
 271   0.27951   UTRGV
 272   0.27913   S_Carolina_St
 273   0.27873   San_Jose_St
 274   0.27788   Savannah_St
 275   0.27522   Colgate
 276   0.27379   Maine
 277   0.26875   Grambling
 278   0.26751   Gardner_Webb
 279   0.26627   TX_Southern
 280   0.26596   Montana_St
 281   0.26387   Louisiana
 282   0.25978   New_Hampshire
 283   0.25893   Morgan_St
 284   0.25839   UNC_Asheville
 285   0.25774   Norfolk_St
 286   0.25724   Mt_St_Mary's
 287   0.25526   St_Bonaventure
 288   0.25295   Stetson
 289   0.25256   Ark_Pine_Bluff
 290   0.25185   SE_Missouri_St
 291   0.25130   Wofford
 292   0.25076   Morehead_St
 293   0.24992   CS_Sacramento
 294   0.23635   Southern_Univ
 295   0.23459   James_Madison
 296   0.23347   Nicholls_St
 297   0.23115   Stony_Brook
 298   0.22497   N_Illinois
